"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"100uF 16V","desc","C11,","CP_Elec_6.3x5.8","libref","2","1","","",
"1uF","desc","C12,C2,","0805_C","libref","2","2","","",
"103","desc","C13,","0805_C","libref","2","1","","",
"104 100V","desc","C17,","1206_C","libref","2","1","","",
"1nF","desc","C20,C1,","0805_C","libref","2","2","","",
"1uF 50V","desc","C23,","1206_C","libref","2","1","","",
"104","desc","C26,C25,C24,C22,C21,C19,C18,C15,C10,C9,C6,","0805_C","libref","2","11","","",
"104 63V","desc","C3,","1206_C","libref","2","1","","",
"63V 4.7uF","desc","C4,","1210_C","libref","2","1","","",
"10uF","desc","C5,","1206_C","libref","2","1","","",
"6.8pF NP0","desc","C7,","0805_C","libref","2","1","","",
"3.3nF NP0","desc","C8,","0805_C","libref","2","1","","",
"ZMM4758 1W","desc","D1,","SMB(DO-214AA)_S1","libref","2","1","","",
"4148","desc","D11,D10,D7,D6,D5,D3,","SOD-123","libref","2","6","","",
"Power","desc","D12,","0805_LED","libref","2","1","","",
"24V 1W","desc","D13,","SMB(DO-214AA)_S1","libref","2","1","","",
"5.6V","desc","D14,","LL-34","libref","2","1","","",
"SK310","desc","D2,","SMC(DO-214AB)_S1","libref","2","1","","",
"D_TVS","desc","D4,","SMC(DO-214AB)_S1","libref","2","1","","",
"IFault","desc","D8,","0805_LED","libref","2","1","","",
"VFault","desc","D9,","0805_LED","libref","2","1","","",
"1A","desc","F1,","1206_R","libref","2","1","","",
"Conn_01x02","desc","J2,","JST_PH_B2B-PH-SM4-TB_02x2.00mm_Straight","libref","4","1","","",
"Conn_01x03","desc","J4,","JST_PH_B3B-PH-SM4-TB_03x2.00mm_Straight","libref","5","1","","",
"Conn_01x04","desc","J5,","JST_PH_B4B-PH-SM4-TB_04x2.00mm_Straight","libref","6","1","","",
"120uH 3A","desc","L1,","L_12.6mm_13.5mm","libref","2","1","","",
"SUP90P06","desc","Q2,","TO-220-External_Thermal_Mount","libref","3","1","","",
"MJD127","desc","Q3,","TO-252-2","libref","3","1","","",
"2N5551","desc","Q4,Q1,","SOT-23(SOT-23-3)","libref","3","2","","",
"MJD122","desc","Q5,","TO-252-2","libref","3","1","","",
"8050","desc","Q6,","SOT-23(SOT-23-3)","libref","3","1","","",
"47K 1%","desc","R1,","0805_R","libref","2","1","","",
"2M","desc","R10,","0805_R","libref","2","1","","",
"100K","desc","R14,R6,Test,","0805_R","libref","2","3","","",
"330K","desc","R15,","0805_R","libref","2","1","","",
"220K","desc","R17,R13,","0805_R","libref","2","2","","",
"47K","desc","R18,","0805_R","libref","2","1","","",
"68K","desc","R19,","0805_R","libref","2","1","","",
"2.2K 1%","desc","R2,","0805_R","libref","2","1","","",
"8.2K","desc","R20,","0805_R","libref","2","1","","",
"51K","desc","R21,R12,R11,","0805_R","libref","2","3","","",
"2K","desc","R22,","0805_R","libref","2","1","","",
"22K","desc","R25,R24,","0805_R","libref","2","2","","",
"33K 1%","desc","R26,","0805_R","libref","2","1","","",
"1.2K 1%","desc","R27,","0805_R","libref","2","1","","",
"0","desc","R28,","1206_R","libref","2","1","","",
"1K","desc","R31,R30,R29,R9,R8,","0805_R","libref","2","5","","",
"3.3K","desc","R35,R34,","0805_R","libref","2","2","","",
"6.8K 1%","desc","R37,","0805_R","libref","2","1","","",
"10K 1%","desc","R39,R38,R36,","0805_R","libref","2","3","","",
"10k","desc","R4,","0805_R","libref","2","1","","",
"680","desc","R42,","0805_R","libref","2","1","","",
"22K 1%","desc","R44,R43,","0805_R","libref","2","2","","",
"10K","desc","R45,R41,R40,R33,R32,R23,R3,","0805_R","libref","2","7","","",
"33k","desc","R7,","0805_R","libref","2","1","","",
"SW_SPST","desc","SW1,","JST_PH_B2B-PH-SM4-TB_02x2.00mm_Straight","libref","4","1","","",
"LMV358","desc","U2,U1,","SOIC-8_150MIL","libref","8","2","","",
"TPS54260","desc","U3,","MSOP-10-1EP_W3mm","libref","11","1","","",
"LM317_3PinPackage","desc","U5,","TO-220-External_Thermal_Mount","libref","3","1","","",
"TL431","desc","U6,","SOT-23(SOT-23-3)","libref","3","1","","",
"Through Hole Items ",
"100uF 100V","desc","C14,","CP_Radial_D10.0mm_P5.00mm","libref","2","1","","",
"10uF 63V","desc","C16,","CP_Radial_D5.0mm_P2.50mm","libref","2","1","","",
"50V in","desc","J3,","PCB-10B-M4","libref","2","1","","",
"GND","desc","J7,J6,J1,","PCB-10B-M4","libref","2","3","","",
"Conn_01x04","desc","J8,","PhoenixContact_MC-G_04x3.81mm_Angled","libref","4","1","","",
"GND","desc","SC2,SC1,","M3_Screwhole","libref","7","2","","",
"ACS758xCB-100U-PFF","desc","U4,","Allegro_CB_PFF","libref","37","1","","",
